model,hac_lags,beta,se,t,p,n,instrument,coef,F,r2
static_ols_closeclose,3,0.31364491004403794,0.3865636256257406,0.8113668468840873,0.4171550321393592,196,,,,
static_ols_closeclose,5,0.31364491004403794,0.4072434677695359,0.7701656008428193,0.4412016662656313,196,,,,
static_ols_closeclose,10,0.31364491004403794,0.4246676916734258,0.7385655094412843,0.46017087430510106,196,,,,
first_stage,3,,0.02410818995449415,4.227133164035592,,109,Turnover,0.10190852928151192,17.86865478648955,0.3793876810070683
first_stage,5,,0.025608140704418157,3.9795364473270682,,109,Turnover,0.10190852928151192,15.836710335604543,0.3793876810070683
first_stage,10,,0.026744316054443183,3.810474310655676,,109,Turnover,0.10190852928151192,14.519714472166848,0.3793876810070683
