group,n_obs,flows_usd_mn_nonmissing,flows_usd_mn_mean,aum_total_nonmissing,aum_total_mean,dollar_volume_total_nonmissing,dollar_volume_total_mean,ret_close_close_nonmissing,ret_close_close_mean,ret_intraday_nonmissing,ret_intraday_mean,ret_overnight_nonmissing,ret_overnight_mean,rv_intraday_nonmissing,rv_intraday_mean,rv_overnight_nonmissing,rv_overnight_mean
used,459,459,254.38649237472768,459,86106676083.05731,459,2322312905.610223,459,0.0018443191033483274,459,-0.0004868991133213737,459,0.0023312182166696977,459,0.0003553163356261579,459,0.0004323909029527121
dropped,14,14,130.07142857142858,14,83146848366.9744,14,2123410412.6946518,11,-0.014025805651022434,12,-0.009295506850181932,11,-0.006618597687226491,12,0.0005088481430651916,12,0.00062355051023885
