model,hac_lags,beta,se,t,p,n,instrument,coef,F,r2
static_ols_closeclose,3,-9.2407777431946e-09,1.8767480900969414e-08,-0.49238242425584555,0.6224490217260481,469,,,,
static_ols_closeclose,5,-9.2407777431946e-09,1.858185194753763e-08,-0.49730122537216426,0.6189766477757623,469,,,,
static_ols_closeclose,10,-9.2407777431946e-09,1.7519851459047513e-08,-0.5274461238895107,0.597883820591911,469,,,,
first_stage,3,,65537.74766863366,2.835284389523732,,470,Turnover,185818.15288942237,8.038837569476962,0.4170689572306252
first_stage,3,,63959.03181667422,1.2057659255560838,,470,Premium_agg,77119.6211961032,1.4538714672321194,0.4170689572306252
first_stage,5,,69896.48731925554,2.6584762699259707,,470,Turnover,185818.15288942237,7.067496077759503,0.4170689572306252
first_stage,5,,67278.34814422102,1.146276972062185,,470,Premium_agg,77119.6211961032,1.3139508966800513,0.4170689572306252
first_stage,10,,75804.72747902264,2.4512739385659508,,470,Turnover,185818.15288942237,6.008743921892629,0.4170689572306252
first_stage,10,,63762.81138971594,1.2094764881797782,,470,Premium_agg,77119.6211961032,1.462833375459689,0.4170689572306252
