window,spec,beta,se,t,p,n,r2
ret_close_close,simple,-3.4904361045176872e-09,1.823330844224298e-08,-0.19143185755751463,0.848187262842566,469,4.500253542916166e-05
ret_close_close,with_controls,-9.2407777431946e-09,1.858185194753763e-08,-0.49730122537216426,0.6189766477757623,469,0.025246883091854633
ret_overnight,simple,-5.007492278284918e-09,1.0306001406316686e-08,-0.4858811949332511,0.627051402041805,469,0.00017198611560631516
ret_overnight,with_controls,-9.690994917405517e-09,9.169540283604747e-09,-1.0568681327168754,0.290571774038067,469,0.05792233192161644
ret_intraday,simple,1.5170561737672266e-09,1.0860290430318905e-08,0.1396883613289041,0.8889062225547006,469,1.6691800705181947e-05
ret_intraday,with_controls,4.502171742108887e-10,1.1715612268786815e-08,0.03842882163404935,0.9693457816077906,469,0.01951750281549558
