date,flow_agg_usd_mn,aum_total,dollar_volume_total,flow_agg_usd,aum_total_lag,FlowShock,Turnover,Premium_agg,btc_open_intraday,btc_close_intraday,btc_close_et,btc_prev_close_et,ret_close_close,ret_intraday,ret_overnight,rv_intraday,rv_overnight,is_fomc,is_cpi
2024-01-11,750.4,750400000.0,2242152444.9721336,750400000.0,,,,0.0,47717.56,46304.2,46304.2,,,-0.0300667946004277,,0.000957184016842,0.0005775392401952,0.0,1.0
2024-01-12,687.1,1391173725.5064871,1324369876.0741234,687100000.0,750400000.0,0.9156449893390192,1.764885229309866,-0.06184343167599606,45751.11,43716.85,43716.85,46304.2,-0.0574990584136686,-0.0454824424149393,-0.0120166159987293,0.0008263023608892,0.0013341998407336,,
2024-01-16,541.7,1920392080.5489786,930991220.8383559,541700000.0,1391173725.5064871,0.3893834321826214,0.6692127688793204,-0.008979568596420597,42894.4,43297.65,43297.65,42888.45,0.0094958021026862,0.0093570797354638,0.0001387223672223,0.0003595364966604,0.00023344164789,,
2024-01-17,914.4000000000001,2806767558.5549884,789065802.511406,914400000.0000001,1920392080.5489786,0.4761527655012004,0.41088786529771426,-0.014763507376819598,42501.22,42636.24,42636.24,43297.65,-0.0153937651613928,0.0031718144562058,-0.0185655796175986,0.0002084564172001,0.0002241609270761,,
2024-01-18,455.70000000000005,3138356120.336659,1052610438.5807037,455700000.00000006,2806767558.5549884,0.16235758412235912,0.375025867522361,-0.044228257121217404,42570.38,40899.19,40899.19,42636.24,-0.0415943374052556,-0.0400484478225945,-0.001545889582661,0.0004021129742181,0.0003075788222504,,
2024-01-19,634.0,3833472517.426814,1221609470.3754425,634000000.0,3138356120.336659,0.20201658947869475,0.3892513862462484,0.019464474705580298,41097.55,41711.99,41711.99,40899.19,0.019678359000285,0.014840108432149,0.0048382505681359,0.0004710773266334,0.0002194254359124,,
2024-01-22,553.1,4251008738.2783537,1012932934.4839096,553100000.0,3833472517.426814,0.14428171781214794,0.264233780176891,-0.0353938963334156,40562.45,40149.63,40149.63,41622.63,-0.0360307848344859,-0.0102295368896934,-0.0258012479447924,0.000495732162689,0.0005250249775913,,
2024-01-23,409.19999999999993,4550767971.069932,836346005.1783562,409199999.99999994,4251008738.2783537,0.0962595057298623,0.19674059891889892,-0.02572554926924109,38801.1,39275.99,39275.99,40149.63,-0.0219998342096169,0.0121647939557756,-0.0341646281653926,0.0003835683419813,0.0006252811441962,,
2024-01-24,271.0,4867815252.974393,671590878.2682419,271000000.0,4550767971.069932,0.05955038835704145,0.14757748198494594,0.01008528701038506,40006.01,39618.31,39618.31,39275.99,0.0086779944374118,-0.0097383076915247,0.0184163021289365,0.0002268768738743,0.0002630860941542,,
2024-01-25,314.29999999999995,5213738802.108162,520626176.9916535,314299999.99999994,4867815252.974393,0.0645669532770276,0.10695273956289406,0.006507519035989185,40001.37,39880.69,39880.69,39618.31,0.0066008617136677,-0.0030214566777399,0.0096223183914076,0.0001799319005912,0.0001889225635593,,
2024-01-26,269.9,5768770613.048668,1023907224.4875908,269900000.0,5213738802.108162,0.051767073542477164,0.19638636750916186,0.05468903369520408,41154.04,41955.47,41955.47,39880.69,0.0507165708884533,0.0192867180343814,0.0314298528540718,0.000258679598369,0.000339958731749,,
