date,btc_open_intraday,btc_close_intraday,btc_close_et,btc_prev_close_et,ret_close_close,ret_intraday,ret_overnight,rv_intraday,rv_overnight
2024-01-26,41154.04,41955.47,41955.47,39880.69,0.05071657088845334,0.01928671803438146,0.03142985285407188,0.000258679598369077,0.00033995873174908197
2024-01-27,41773.02,42064.97,42064.97,41955.47,0.002606510082410423,0.006964651230749587,-0.004358141148339163,2.7448976895324547e-05,0.00013758392597238526
2024-01-28,42496.0,41951.09,41951.09,42064.97,-0.0027109119314192454,-0.012905537964845617,0.010194626033426371,9.16038966074426e-05,0.00021080823026150305
2024-01-29,41965.69,43105.44,43105.44,41951.09,0.027144791353192997,0.02679682756937494,0.0003479637838180588,0.00020862624975492465,0.0002223636919822094
2024-01-30,43382.13,43602.16,43602.16,43105.44,0.011457483169947434,0.00505908525076022,0.0063983979191872134,0.00015843590582403645,0.00032638790453672366
2024-01-31,42716.25,42513.82,42513.82,43602.16,-0.025277490869714054,-0.00475021035754498,-0.020527280512169073,0.000341413856582647,0.00034757267276667243
2024-02-01,42385.57,42999.41,42999.41,42513.82,0.011357195126647611,0.014378420545425851,-0.00302122541877824,0.00019168571517454123,0.0002055769667242242
2024-02-02,42803.23,42959.88,42959.88,42999.41,-0.0009197377685785397,0.003653089870660314,-0.0045728276392388535,0.0001459620365313759,0.00016905269761622157
2024-02-03,43061.99,43093.03,43093.03,42959.88,0.003094610194134723,0.0007205616420963516,0.0023740485520383713,3.466866993989218e-05,3.5099256628317233e-05
2024-02-04,43008.0,42914.16,42914.16,43093.03,-0.004159425691807649,-0.0021843034977387828,-0.001975122194068866,4.587118818795934e-05,0.00014601200461977017
2024-02-05,43371.15,42397.1,42397.1,42914.16,-0.012121877730577197,-0.022714509848264973,0.010592632117687776,0.00013552226310368454,0.00014560540714478516
2024-02-06,42920.12,43120.29,43120.29,42397.1,0.0169136883231975,0.004652938337629034,0.012260749985568465,9.221141559436979e-05,0.0001713042971526296
2024-02-07,43155.99,44163.71,44163.71,43120.29,0.023909759125565807,0.023082185149554943,0.000827573976010864,0.0001844968623860601,0.00018321933681457304
2024-02-08,44983.56,45441.1,45441.1,44163.71,0.02851357074524028,0.01011989217986582,0.01839367856537446,0.00018324624471804653,0.0002958254195255538
2024-02-09,46970.7,47550.01,47550.01,45441.1,0.04536501742994746,0.012257996238809092,0.03310702119113837,0.00031169351579249133,0.0005467302404040899
2024-02-10,47274.01,47963.99,47963.99,47550.01,0.008668521731145044,0.014489848003114288,-0.005821326271969244,8.002279379683546e-05,0.0002249162512570423
2024-02-11,48112.0,48064.0,48064.0,47963.99,0.0020829351142050805,-0.000998170104503655,0.0030811052187087354,8.576515762399276e-05,0.00020244398139574696
2024-02-12,48178.63,50100.0,50100.0,48064.0,0.041487551949149507,0.0391054463436616,0.0023821056054879053,0.0003984100492842557,0.0002443551773583714
2024-02-13,48855.86,49361.09,49361.09,50100.0,-0.0148585460794824,0.010288131658715654,-0.025146677738198054,0.0002718049993736359,0.0004799909409307116
2024-02-14,51733.23,51620.51,51620.51,49361.09,0.044756612121840254,-0.0021812475231564755,0.04693785964499673,0.000281077409825815,0.0005786489583538729
