date,ticker,net_flow_usd,source,close_price,volume_shares,shares_outstanding,aum_usd,nav_per_share,nav_source,dollar_volume,premium,shares_created_est,shares_outstanding_est,aum_usd_check
2024-01-11,ARKB,65.3,farside,15.58666706085205,17925000,4189478.0805326547,65300000.0,15.58666706085205,yfinance_proxy,279391007.065773,0.0,4189478.0805326547,4189478.0805326547,65300000.0
2024-01-11,BITB,237.9,farside,25.540000915527344,4781900,9314799.979328344,237899999.99999997,25.540000915527344,yfinance_proxy,122129730.3779602,0.0,9314799.979328344,9314799.979328344,237899999.99999997
2024-01-11,BRRR,29.4,farside,13.289999961853027,675700,2212189.622602584,29400000.000000004,13.289999961853027,yfinance_proxy,8980052.97422409,0.0,2212189.622602584,2212189.622602584,29400000.000000004
2024-01-11,BTCO,17.4,farside,46.52999877929688,964400,373952.29865645256,17400000.0,46.52999877929688,yfinance_proxy,44873530.82275391,0.0,373952.29865645256,373952.29865645256,17400000.0
2024-01-11,BTCW,1.0,farside,49.32500076293945,131400,20273.69456730661,1000000.0,49.32500076293945,yfinance_proxy,6481305.100250244,0.0,20273.69456730661,20273.69456730661,1000000.0
2024-01-11,EZBC,50.1,farside,27.049999237060547,2401200,1852125.745399623,50100000.0,27.049999237060547,yfinance_proxy,64952458.168029785,0.0,1852125.745399623,1852125.745399623,50100000.0
2024-01-11,FBTC,227.0,farside,40.880001068115234,16805200,5552837.42830063,227000000.00000003,40.880001068115234,yfinance_proxy,686996593.9498901,0.0,5552837.42830063,5552837.42830063,227000000.00000003
2024-01-11,HODL,10.6,farside,13.229999542236328,1930000,801209.4003601328,10600000.0,13.229999542236328,yfinance_proxy,25533899.116516113,0.0,801209.4003601328,801209.4003601328,10600000.0
2024-01-11,IBIT,111.7,farside,26.6299991607666,37657300,4194517.593698057,111700000.00000001,26.6299991607666,yfinance_proxy,1002813867.3967361,0.0,4194517.593698057,4194517.593698057,111700000.00000001
2024-01-12,ARKB,39.8,farside,14.619999885559082,10364400,6911776.323456205,101050169.0579397,14.619999885559082,yfinance_proxy,151527526.81388855,-0.0620188505675392,2722298.242923551,6911776.323456205,101050169.0579397
