date,ticker,close_price,volume_shares,shares_outstanding,aum_usd
2024-01-11 00:00:00-05:00,IBIT,26.6299991607666,37657300,,
2024-01-12 00:00:00-05:00,IBIT,24.969999313354492,22991900,,
2024-01-16 00:00:00-05:00,IBIT,24.719999313354492,15078200,,
2024-01-17 00:00:00-05:00,IBIT,24.40999984741211,13964500,,
2024-01-18 00:00:00-05:00,IBIT,23.34000015258789,17823200,,
2024-01-19 00:00:00-05:00,IBIT,23.799999237060547,18284100,,
2024-01-22 00:00:00-05:00,IBIT,22.950000762939453,17222100,,
2024-01-23 00:00:00-05:00,IBIT,22.31999969482422,13431700,,
2024-01-24 00:00:00-05:00,IBIT,22.600000381469727,11929100,,
2024-01-25 00:00:00-05:00,IBIT,22.760000228881836,8954900,,
2024-01-26 00:00:00-05:00,IBIT,23.989999771118164,20273800,,
2024-01-29 00:00:00-05:00,IBIT,24.670000076293945,19012900,,
2024-01-30 00:00:00-05:00,IBIT,24.8799991607666,15541300,,
2024-01-31 00:00:00-05:00,IBIT,24.299999237060547,13369300,,
2024-02-01 00:00:00-05:00,IBIT,24.540000915527344,12411400,,
2024-02-02 00:00:00-05:00,IBIT,24.5,10329000,,
2024-02-05 00:00:00-05:00,IBIT,24.190000534057617,6807500,,
2024-02-06 00:00:00-05:00,IBIT,24.600000381469727,7352900,,
2024-02-07 00:00:00-05:00,IBIT,25.219999313354492,13952200,,
2024-02-08 00:00:00-05:00,IBIT,26.030000686645508,18568500,,
2024-02-09 00:00:00-05:00,IBIT,27.149999618530273,20742800,,
2024-02-12 00:00:00-05:00,IBIT,28.65999984741211,35138600,,
2024-02-13 00:00:00-05:00,IBIT,28.219999313354492,20913600,,
2024-02-14 00:00:00-05:00,IBIT,29.549999237060547,28134500,,
2024-02-15 00:00:00-05:00,IBIT,29.520000457763672,22844700,,
2024-02-16 00:00:00-05:00,IBIT,29.6200008392334,15976500,,
2024-02-20 00:00:00-05:00,IBIT,29.670000076293945,21166400,,
2024-02-21 00:00:00-05:00,IBIT,29.079999923706055,17664400,,
2024-02-22 00:00:00-05:00,IBIT,29.719999313354492,15468400,,
2024-02-23 00:00:00-05:00,IBIT,29.15999984741211,13285800,,
2024-02-26 00:00:00-05:00,IBIT,31.1200008392334,42806400,,
2024-02-27 00:00:00-05:00,IBIT,32.59000015258789,42006400,,
2024-02-28 00:00:00-05:00,IBIT,34.45000076293945,96833400,,
2024-02-29 00:00:00-05:00,IBIT,35.41999816894531,53837500,,
2024-03-01 00:00:00-05:00,IBIT,35.9900016784668,35133600,,
2024-03-04 00:00:00-05:00,IBIT,38.650001525878906,63439000,,
2024-03-05 00:00:00-05:00,IBIT,35.31999969482422,107143600,,
2024-03-06 00:00:00-05:00,IBIT,38.290000915527344,45934300,,
2024-03-07 00:00:00-05:00,IBIT,38.630001068115234,41450800,,
2024-03-08 00:00:00-05:00,IBIT,39.54999923706055,89934000,,
2024-03-11 00:00:00-04:00,IBIT,41.119998931884766,74430400,,
2024-03-12 00:00:00-04:00,IBIT,40.72999954223633,98022800,,
2024-03-13 00:00:00-04:00,IBIT,41.95000076293945,59347000,,
2024-03-14 00:00:00-04:00,IBIT,39.5099983215332,99521100,,
2024-03-15 00:00:00-04:00,IBIT,39.38999938964844,68768300,,
2024-03-18 00:00:00-04:00,IBIT,38.13999938964844,53201600,,
2024-03-19 00:00:00-04:00,IBIT,36.70000076293945,69685200,,
2024-03-20 00:00:00-04:00,IBIT,37.54999923706055,71309300,,
2024-03-21 00:00:00-04:00,IBIT,37.150001525878906,47085900,,
2024-03-22 00:00:00-04:00,IBIT,36.40999984741211,39957400,,
2024-03-25 00:00:00-04:00,IBIT,40.54999923706055,64562000,,
2024-03-26 00:00:00-04:00,IBIT,39.630001068115234,44351400,,
2024-03-27 00:00:00-04:00,IBIT,39.130001068115234,46746900,,
2024-03-28 00:00:00-04:00,IBIT,40.470001220703125,44620800,,
2024-04-01 00:00:00-04:00,IBIT,39.75,34652000,,
